year,county_fips,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
2008,46025,0.4322916666666667,0.5546875,REPUBLICAN,0.5546875
2012,46025,0.3915431081823174,0.585941790225151,DEMOCRAT,0.3915431081823174
2016,46025,0.24019312009656005,0.6873868436934218,DEMOCRAT,0.24019312009656005
2020,46025,0.23621621621621622,0.7421621621621621,REPUBLICAN,0.7421621621621621
2024,46025,0.2252985884907709,0.750271444082519,DEMOCRAT,0.2252985884907709
2000,46027,0.5167482859941234,0.46287952987267383,DEMOCRAT,0.5167482859941234
2004,46027,0.5402542372881356,0.438722294654498,REPUBLICAN,0.438722294654498
2008,46027,0.6182821886669914,0.372787790225686,REPUBLICAN,0.372787790225686
2012,46027,0.5645777607948033,0.41020252197172336,DEMOCRAT,0.5645777607948033
2016,46027,0.5144999013612153,0.41605839416058393,DEMOCRAT,0.5144999013612153
2020,46027,0.5410670410670411,0.431028431028431,REPUBLICAN,0.431028431028431
2024,46027,0.5204171822520771,0.4550114901891462,DEMOCRAT,0.5204171822520771
2000,46029,0.3763691865685042,0.6031603519482851,DEMOCRAT,0.3763691865685042
2004,46029,0.376676339110658,0.6099913732256294,REPUBLICAN,0.6099913732256294
2008,46029,0.4633156674395495,0.5278237827095065,REPUBLICAN,0.5278237827095065
2012,46029,0.398125650815689,0.581048247136411,DEMOCRAT,0.398125650815689
2016,46029,0.2720027423086811,0.6653526437569629,DEMOCRAT,0.2720027423086811
2020,46029,0.29154319580578986,0.6806473672213358,REPUBLICAN,0.6806473672213358
2024,46029,0.2842339008142117,0.6920059215396003,DEMOCRAT,0.2842339008142117
2000,46031,0.4416733708769107,0.5060337892196299,DEMOCRAT,0.4416733708769107
2004,46031,0.5638051044083526,0.4176334106728538,REPUBLICAN,0.4176334106728538
2008,46031,0.602158273381295,0.38489208633093525,REPUBLICAN,0.38489208633093525
2012,46031,0.54,0.42916666666666664,DEMOCRAT,0.54
2016,46031,0.4553191489361702,0.5004255319148936,DEMOCRAT,0.4553191489361702
2020,46031,0.4848012470771629,0.5042868277474669,REPUBLICAN,0.5042868277474669
2024,46031,0.4330708661417323,0.5520559930008749,DEMOCRAT,0.4330708661417323
2000,46033,0.2672823957458718,0.6982927511894766,DEMOCRAT,0.2672823957458718
2004,46033,0.2955390334572491,0.6789033457249071,REPUBLICAN,0.6789033457249071
2008,46033,0.33146067415730335,0.6537078651685393,REPUBLICAN,0.6537078651685393
2012,46033,0.29535398230088494,0.6774336283185841,DEMOCRAT,0.29535398230088494
2016,46033,0.23744969286168185,0.6975217115018004,DEMOCRAT,0.23744969286168185
2020,46033,0.27702948671277755,0.7011285038223517,REPUBLICAN,0.7011285038223517
2024,46033,0.26112314614230964,0.718713547742043,DEMOCRAT,0.26112314614230964
2000,46035,0.3900106269925611,0.5904622741764081,DEMOCRAT,0.3900106269925611
2004,46035,0.3644995531724754,0.6212019660411081,REPUBLICAN,0.6212019660411081
2008,46035,0.42486551105797965,0.5655708308427974,REPUBLICAN,0.5655708308427974
2012,46035,0.3816334211516748,0.5967883577970142,DEMOCRAT,0.3816334211516748
2016,46035,0.29615191146881287,0.6485160965794768,DEMOCRAT,0.29615191146881287
2020,46035,0.3132245091081145,0.6639460610361959,REPUBLICAN,0.6639460610361959
2024,46035,0.2988994224692165,0.6764737931785987,DEMOCRAT,0.2988994224692165
2000,46037,0.4666875195495777,0.5076634344698154,DEMOCRAT,0.4666875195495777
2004,46037,0.5132768361581921,0.47203389830508474,REPUBLICAN,0.47203389830508474
2008,46037,0.5616740088105727,0.43171806167400884,REPUBLICAN,0.43171806167400884
2012,46037,0.521058127392969,0.4594500522102332,DEMOCRAT,0.521058127392969
2016,46037,0.3545686203130688,0.592282489989079,DEMOCRAT,0.3545686203130688
2020,46037,0.3549257759784076,0.6305668016194332,REPUBLICAN,0.6305668016194332
2024,46037,0.34106412005457026,0.6398362892223738,DEMOCRAT,0.34106412005457026
2000,46039,0.41636690647482016,0.5598021582733813,DEMOCRAT,0.41636690647482016
2004,46039,0.398424543946932,0.5829187396351575,REPUBLICAN,0.5829187396351575
2008,46039,0.4839302112029385,0.4995408631772268,REPUBLICAN,0.4995408631772268
2012,46039,0.4334408106863197,0.5412252418240442,DEMOCRAT,0.4334408106863197
2016,46039,0.27403846153846156,0.6567307692307692,DEMOCRAT,0.27403846153846156
2020,46039,0.2591489361702128,0.7229787234042553,REPUBLICAN,0.7229787234042553
2024,46039,0.2297650130548303,0.747171453437772,DEMOCRAT,0.2297650130548303
2000,46041,0.5234979179060083,0.4527067221891731,DEMOCRAT,0.5234979179060083
2004,46041,0.6263650546021841,0.359204368174727,REPUBLICAN,0.359204368174727
2008,46041,0.6623441396508728,0.3286783042394015,REPUBLICAN,0.3286783042394015
2012,46041,0.6369393139841689,0.34986807387862795,DEMOCRAT,0.6369393139841689
2016,46041,0.5199063231850117,0.42330210772833726,DEMOCRAT,0.5199063231850117
2020,46041,0.5752797558494405,0.40183112919633773,REPUBLICAN,0.40183112919633773
2024,46041,0.5515766969535008,0.4238375200427579,DEMOCRAT,0.5515766969535008
2000,46043,0.21240491515506144,0.7671152720889409,DEMOCRAT,0.21240491515506144
2004,46043,0.19532803180914513,0.7932405566600398,REPUBLICAN,0.7932405566600398
2008,46043,0.24438040345821327,0.7452449567723343,REPUBLICAN,0.7452449567723343
2012,46043,0.19644970414201182,0.7893491124260354,DEMOCRAT,0.19644970414201182
2016,46043,0.13333333333333333,0.8336448598130841,DEMOCRAT,0.13333333333333333
2020,46043,0.1265377855887522,0.8599882835383714,REPUBLICAN,0.8599882835383714
2024,46043,0.13208685162846803,0.8558504221954162,DEMOCRAT,0.13208685162846803
2000,46045,0.3403826787512588,0.6329305135951662,DEMOCRAT,0.3403826787512588
2004,46045,0.3424350940017905,0.6418979409131602,REPUBLICAN,0.6418979409131602
2008,46045,0.3989283974671213,0.590842669264491,REPUBLICAN,0.590842669264491
2012,46045,0.3212809917355372,0.6528925619834711,DEMOCRAT,0.3212809917355372
2016,46045,0.1981230448383733,0.7471324296141815,DEMOCRAT,0.1981230448383733
2020,46045,0.21007556675062972,0.7748110831234257,REPUBLICAN,0.7748110831234257
2024,46045,0.18906942392909898,0.7966518956179222,DEMOCRAT,0.18906942392909898
2000,46047,0.3304170312044328,0.6372120151647711,DEMOCRAT,0.3304170312044328
2004,46047,0.3448634590377113,0.6275682704811444,REPUBLICAN,0.6275682704811444
2008,46047,0.3563249001331558,0.6252996005326231,REPUBLICAN,0.6252996005326231
2012,46047,0.3242320819112628,0.6422070534698521,DEMOCRAT,0.3242320819112628
2016,46047,0.23042380016839742,0.7047431939376929,DEMOCRAT,0.23042380016839742
2020,46047,0.26051459673428995,0.7120237506185056,REPUBLICAN,0.7120237506185056
2024,46047,0.24099204492278894,0.7335049134300421,DEMOCRAT,0.24099204492278894
2000,46049,0.29194883370955604,0.6802106847253574,DEMOCRAT,0.29194883370955604
2004,46049,0.30533235938641345,0.6902848794740687,REPUBLICAN,0.6902848794740687
2008,46049,0.3628620102214651,0.6294718909710392,REPUBLICAN,0.6294718909710392
2012,46049,0.2937000887311446,0.678793256433008,DEMOCRAT,0.2937000887311446
2016,46049,0.18246869409660108,0.7674418604651163,DEMOCRAT,0.18246869409660108
2020,46049,0.16751269035532995,0.8155668358714044,REPUBLICAN,0.8155668358714044
2024,46049,0.16194690265486725,0.8141592920353983,DEMOCRAT,0.16194690265486725
2000,46051,0.38511749347258484,0.5835509138381201,DEMOCRAT,0.38511749347258484
2004,46051,0.3992665036674817,0.5848410757946211,REPUBLICAN,0.5848410757946211
2008,46051,0.4732379438261791,0.5169581346051935,REPUBLICAN,0.5169581346051935
2012,46051,0.4140321686078758,0.5640599001663894,DEMOCRAT,0.4140321686078758
2016,46051,0.2724466891133558,0.6683501683501684,DEMOCRAT,0.2724466891133558
2020,46051,0.28197596795727636,0.6990654205607477,REPUBLICAN,0.6990654205607477
2024,46051,0.2606060606060606,0.7146005509641873,DEMOCRAT,0.2606060606060606
